Entité financire programme;Nature AP/EPCP;Type mouvement;Section;Nomenclature comptable;Code chapitre;Libellé chapitre;Code article;Libellé article;Code présentation croisée;Libellé présentation croisée;Chapitre par nature;Libellé par nature;Mt CP Voté BP;Mt CP ICNE BP
Budget principal VT;Recette;Réel;Fonctionnement;M14V;74;Dotations, subventions et participations;7478;Participations des autres organismes;421;Centres de loisirs;74;Dotations, subv.;650000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6068;Autres matires et fournitures;421;Centres de loisirs;011;Ch.  caract. gén.;53976;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6237;Publications;322;Musées;011;Ch.  caract. gén.;10400;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;60632;Fournitures de petit équipement;321;Bibliothques et médiathques;011;Ch.  caract. gén.;14760;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6068;Autres matires et fournitures;33;Action culturelle;011;Ch.  caract. gén.;18100;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;61558;Entretien et réparations des autres biens mobiliers;023;Information, communication, publicité;011;Ch.  caract. gén.;8385;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6453;Cotisations aux caisses de retraites;511;Dispensaires et autrs établissements sanitaires;012;Ch.de pers., frais ass.;56340;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6336;Cotisation au centre national et aux centres de gestion de la fonction publique territoriale;820;Services communs;012;Ch.de pers., frais ass.;36592;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64162;Emplois d'avenir;024;Ftes et cérémonies;012;Ch.de pers., frais ass.;42823;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2135;Installations générales, agencements, aménagements des constructions;521;Services  caractre social pour handicapés et inadaptés;21;Immob. corporelles;2568851;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64111;Personnel titulaire - Rémunération principale;211;Ecoles maternelles;012;Ch.de pers., frais ass.;26357750;0
Budget principal VT;Recette;Réel;Investissement;M14V;16;Emprunts et dettes assimilées;165;Dépôts et cautionnements reçus;01;Opération non ventilable;16;Empr. et dettes ass.;5000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64111;Personnel titulaire - Rémunération principale;522;Actions en faveur de l'enfance et de l'adolescence;012;Ch.de pers., frais ass.;332667;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6332;Cotisations versées au F.N.A.L.;522;Actions en faveur de l'enfance et de l'adolescence;012;Ch.de pers., frais ass.;2836;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6247;Transports collectifs;520;Services communs;011;Ch.  caract. gén.;19000;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2188;Autres immobilisations corporelles;520;Services communs;21;Immob. corporelles;8750;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;61551;Entretien et réparations dumatériel roulant;822;Voirie communale et routes;011;Ch.  caract. gén.;30000;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2188;Autres immobilisations corporelles;824;Autres opérations d'aménagement urbain;21;Immob. corporelles;1736;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64111;Personnel titulaire - Rémunération principale;020;Administration générale de la collectivité;012;Ch.de pers., frais ass.;25506127;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64111;Personnel titulaire - Rémunération principale;311;Expression musicale, lyrique et chorégraphique;012;Ch.de pers., frais ass.;5978454;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;6574;Subventions de fonctionnement aux associations et autres personnes droit privé;72;Aide au secteur locatif;65;Autres ch d'activité;172900;0
Budget principal VT;Dépense;Réel;Investissement;M14V;16;Emprunts et dettes assimilées;165;Dépôts et cautionnements reçus;01;Opération non ventilable;16;Empr. et dettes ass.;28600;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64111;Personnel titulaire - Rémunération principale;422;Autres activités pour les jeunes;012;Ch.de pers., frais ass.;7569204;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6256;Missions;020;Administration générale de la collectivité;011;Ch.  caract. gén.;210000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6067;Fournitures scolaires;213;Classes regroupées;011;Ch.  caract. gén.;1565000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64112;NBI, supplément famillial de traitement et indemnité de résidence;01;Opérations non ventilables;012;Ch.de pers., frais ass.;22301;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64112;NBI, supplément famillial de traitement et indemnité de résidence;021;Assemblée locale;012;Ch.de pers., frais ass.;10628;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;21561;Matériel roulant d'incendie et de défense civile;020;Administration générale de la collectivité;21;Immob. corporelles;3000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64118;Autres indemnités;026;Cimetires et pompes funbres;012;Ch.de pers., frais ass.;598358;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2184;Mobilier;520;Services communs;21;Immob. corporelles;29700;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;70;Produits des services, du domaine et ventes diverses;70631;Redevances et droits des services  caractre sportif;413;Piscines;70;Prod. des services;1458100;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64118;Autres indemnités;820;Services communs;012;Ch.de pers., frais ass.;1085422;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;60611;Eau et assainissement;020;Administration générale de la collectivité;011;Ch.  caract. gén.;5317000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6451;Cotisations  l' U.R.S.S.A.F.;20;Services communs;012;Ch.de pers., frais ass.;638954;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6331;Versement de transport;20;Services communs;012;Ch.de pers., frais ass.;74779;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6451;Cotisations  l' U.R.S.S.A.F.;415;Manifestations sportives;012;Ch.de pers., frais ass.;5279;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6331;Versement de transport;323;Archives;012;Ch.de pers., frais ass.;14701;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6232;Ftes et cérémonies;831;Aménagement des eaux;011;Ch.  caract. gén.;20000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6182;Documentation générale et technique;311;Expression musicale, lyrique et chorégraphique;011;Ch.  caract. gén.;1728;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2135;Installations générales, agencements, aménagements des constructions;025;Aides aux associations (non classées ailleurs);21;Immob. corporelles;294175;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;65737;Subventions de fonctionnement aux autres établissements publics locaux;313;Théâtres;65;Autres ch d'activité;90000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;60632;Fournitures de petit équipement;421;Centres de loisirs;011;Ch.  caract. gén.;10752;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2188;Autres immobilisations corporelles;421;Centres de loisirs;21;Immob. corporelles;14250;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;6574;Subventions de fonctionnement aux associations et autres personnes droit privé;823;Espaces verts urbains;65;Autres ch d'activité;23040;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6236;Catalogues et imprimés;321;Bibliothques et médiathques;011;Ch.  caract. gén.;10500;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;70;Produits des services, du domaine et ventes diverses;70878;Remboursement des frais par d'autres redevables;321;Bibliothques et médiathques;70;Prod. des services;25000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;60623;Alimentation;33;Action culturelle;011;Ch.  caract. gén.;7950;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6251;Voyages et déplacements;324;Entretien du partrimoine culturel;011;Ch.  caract. gén.;10000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6332;Cotisations versées au F.N.A.L.;33;Action culturelle;012;Ch.de pers., frais ass.;6237;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;73;Impôts et taxes;7322;Dotation de solidarité communautaire;01;Opérations non ventilables;73;Impôts et taxes;7623530;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6336;Cotisation au centre national et aux centres de gestion de la fonction publique territoriale;421;Centres de loisirs;012;Ch.de pers., frais ass.;29594;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64162;Emplois d'avenir;020;Administration générale de la collectivité;012;Ch.de pers., frais ass.;355784;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6188;Autres frais divers;020;Administration générale de la collectivité;011;Ch.  caract. gén.;464865;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6068;Autres matires et fournitures;524;Autres services;011;Ch.  caract. gén.;26558;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6417;Rémunération des apprentis;211;Ecoles maternelles;012;Ch.de pers., frais ass.;40525;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64111;Personnel titulaire - Rémunération principale;01;Opérations non ventilables;012;Ch.de pers., frais ass.;1229640;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64111;Personnel titulaire - Rémunération principale;114;Autres services de protection civile;012;Ch.de pers., frais ass.;638881;0
Budget principal VT;Dépense;Réel;Investissement;M14V;23;Immobilisations en cours;2315;Installations, matériel et outillage techniques en cours;213;Classes regroupées;23;Travaux en cours;5919865;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6188;Autres frais divers;255;Classes de découverte et autres services annexes de l'enseignement;011;Ch.  caract. gén.;4400;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6068;Autres matires et fournitures;64;Crches et garderies;011;Ch.  caract. gén.;238093;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64112;NBI, supplément famillial de traitement et indemnité de résidence;311;Expression musicale, lyrique et chorégraphique;012;Ch.de pers., frais ass.;57192;0
Budget principal VT;Dépense;Réel;Investissement;M14V;23;Immobilisations en cours;2315;Installations, matériel et outillage techniques en cours;64;Crches et garderies;23;Travaux en cours;401981;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6068;Autres matires et fournitures;413;Piscines;011;Ch.  caract. gén.;7500;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6135;Locations mobilires;415;Manifestations sportives;011;Ch.  caract. gén.;169706;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64112;NBI, supplément famillial de traitement et indemnité de résidence;824;Autres opérations d'aménagement urbain;012;Ch.de pers., frais ass.;162581;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64118;Autres indemnités;110;Services communs;012;Ch.de pers., frais ass.;246085;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;614;Charges locatives et de copropriété;020;Administration générale de la collectivité;011;Ch.  caract. gén.;740000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;627;Services bancaires et assimilés;520;Services communs;011;Ch.  caract. gén.;3000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;60631;Fournitures d'entretien;415;Manifestations sportives;011;Ch.  caract. gén.;400;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;61558;Entretien et réparations des autres biens mobiliers;413;Piscines;011;Ch.  caract. gén.;8640;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64118;Autres indemnités;312;Arts plastiques et autres activités artistiques;012;Ch.de pers., frais ass.;1847;0
